Precision,Recall,F1,Precisionx,Recallx,F1x,IFA,Pofb,PMI
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,0.0,0.0,0.0
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.125
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.25,0.3333333333333333,0.28571428571428575,3.0,0.3333333333333333,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,4.0,0.0,0.5
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,1.0,0.0,0.125
0.375,1.0,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.375
0.375,1.0,0.5454545454545454,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.125
0.375,1.0,0.5454545454545454,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.125
0.375,1.0,0.5454545454545454,0.0,0.0,0.0,1.0,0.0,0.125
0.375,1.0,0.5454545454545454,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.125
